name,price,old_price,discount,rating,reviews,link,page
N/A,"₦ 43,000","₦ 56,000",N/A,4.4 out of 5,4.4 out of 5(29),https://www.jumia.com.ng/silver-crest-9.0litres-yam-pounder-food-processor-75675793.html,2
N/A,"₦ 30,200","₦ 41,748",N/A,3.5 out of 5,3.5 out of 5(17),https://www.jumia.com.ng/generic-portable-handheld-vacuum-cleaner-high-power-strong-suction-257936066.html,2
N/A,"₦ 7,600","₦ 8,000",N/A,5 out of 5,5 out of 5(3),https://www.jumia.com.ng/generic-iron-teflon-shoe-407678056.html,2
N/A,"₦ 18,500","₦ 26,820",N/A,4.1 out of 5,4.1 out of 5(17),https://www.jumia.com.ng/generic-iron-multifunctional-dry-ironing-steaming-1800w-black-362550563.html,2
N/A,"₦ 10,010","₦ 14,528",N/A,4 out of 5,4 out of 5(1),https://www.jumia.com.ng/generic-rechargeable-electric-mosquito-killer-bat-swatter1200mah-408154795.html,2
N/A,"₦ 28,310","₦ 35,000",N/A,4.5 out of 5,4.5 out of 5(2),https://www.jumia.com.ng/sonik-electric-insect-killer12w-104733604.html,2
N/A,"₦ 8,549","₦ 10,999",N/A,5 out of 5,5 out of 5(2),https://www.jumia.com.ng/deadbug-deadbug-organic-cockroach-killer-50ml-x-2-pieces-food-bait-391071859.html,2
N/A,"₦ 39,899","₦ 42,500",N/A,N/A,N/A,https://www.jumia.com.ng/sonik-electric-insect-killer30w-104733295.html,2
N/A,"₦ 5,224","₦ 7,499",N/A,4 out of 5,4 out of 5(2),https://www.jumia.com.ng/deadbug-deadbug-organic-rat-bait-balls-365432030.html,2
N/A,"₦ 39,515","₦ 104,300",N/A,5 out of 5,5 out of 5(2),https://www.jumia.com.ng/generic-premium-luxury-mosquito-zapper-1-electric-bug-fly-killer-4200v-high-voltage-3-prong-plug-indoor-outdoor-use-durable-abs-plastic-220v-240v-black-418079140.html,2
N/A,"₦ 73,000","₦ 75,000",N/A,4.1 out of 5,4.1 out of 5(49),https://www.jumia.com.ng/food-processor-and-yam-pounding-machine-century-mpg1240790.html,2
N/A,"₦ 3,325","₦ 3,500",N/A,2.7 out of 5,2.7 out of 5(3),https://www.jumia.com.ng/generic-usb-powered-electric-shock-mosquito-killer-418622995.html,2
N/A,"₦ 17,475","₦ 18,433",N/A,3.5 out of 5,3.5 out of 5(2),https://www.jumia.com.ng/generic-usb-electric-mosquito-killer-lamp-powerful-mosquito-killer-344619980.html,2
N/A,"₦ 44,365","₦ 67,000",N/A,4 out of 5,4 out of 5(1),https://www.jumia.com.ng/legacy-yam-pounder-tiger-nut-grinder-any-dry-grinding-8.0l-122044993.html,2
N/A,"₦ 12,824","₦ 13,499",N/A,4.1 out of 5,4.1 out of 5(48),https://www.jumia.com.ng/nine-1.8l-electric-kettle-sh-02-279926809.html,2
N/A,"₦ 12,349","₦ 16,999",N/A,3.7 out of 5,3.7 out of 5(7),https://www.jumia.com.ng/organic-cockroach-killer-buy-3-get-1-free-deadbug-mpg9209043.html,2
N/A,"₦ 43,900","₦ 86,120",N/A,4.1 out of 5,4.1 out of 5(47),https://www.jumia.com.ng/binatone-1.5-litres-blg-620-blendergrinder-with-stick-black-16641656.html,2
N/A,"₦ 10,666","₦ 14,900",N/A,3.5 out of 5,3.5 out of 5(2),https://www.jumia.com.ng/generic-mini-compact-portable-car-vacuum-cleaner-for-car-and-home-usb-wireless-rechargeable-418458531.html,2
N/A,"₦ 14,597","₦ 19,110",N/A,N/A,N/A,https://www.jumia.com.ng/generic-360-uv-light-electric-mosquito-killer-lamp-rechargeable-shock-mosquito-zapper-for-bedroom-camping-418842339.html,2
N/A,"₦ 45,000","₦ 67,000",N/A,3.9 out of 5,3.9 out of 5(8),https://www.jumia.com.ng/pinnacle-8.5litres-yam-pounderfood-processor-3200w-180243207.html,2
N/A,"₦ 45,000","₦ 65,000",N/A,4.8 out of 5,4.8 out of 5(10),https://www.jumia.com.ng/generic-yam-pounder-and-multifunctional-food-machine-big-bowl-249088709.html,2
N/A,"₦ 75,000","₦ 95,000",N/A,N/A,N/A,https://www.jumia.com.ng/silver-crest-8litres-silvercrest-german-yam-pounderfood-processor-3500w-212483415.html,2
N/A,"₦ 25,999","₦ 30,000",N/A,3.2 out of 5,3.2 out of 5(6),https://www.jumia.com.ng/gourmet-multifunctional-food-processoryam-pounder-3l-404317199.html,2
N/A,"₦ 12,350","₦ 13,000",N/A,N/A,N/A,https://www.jumia.com.ng/generic-iron-teflon-2-pieces-418752227.html,2
